Prompts,Completion,Tags
"""What do the abbreviations stand for?""","""Here's what the abbreviations stand for on your CoCo smartwatch:

1. SPO2: Blood Oxygen Saturation - It measures the percentage of oxygen in your blood
2. BPM: Beats Per Minute - This refers to your heart rate
3. ECT: Emergency Care Team - The group of people you designate to be notified in case of an emergency""","[""abbreviations"", ""stand for"", ""meaning"", ""on CoCo app""]"
"""How to manage CoCo contacts?""","""To manage your contacts, please follow these steps in the CoCo app, either by yourself or through any of your contacts who have admin permissions to assist you remotely:

1. Log into the CoCo App.
2. Navigate to 'Settings.'
3. Tap ""Contacts"" to access the Contact Details page.
4. Tap the pen-like icon at the top right of the screen.
5. Under each contact, you will see a red 'Delete' button; tapping 'Delete' will remove that contact.
6. To add more contacts, tap the '+' icon at the top right corner of the screen and then follow the instructions provided.""
","[""manage"", ""manage contacts"", ""coco contacts"", ""contacts""]"
"""How to add CoCo emergency contacts?""","""To add contacts, please follow these steps in the CoCo App:

1. Navigate to 'Settings.' within the CoCo app
2. Tap ""Contacts"" to access the Contact Details page.
3. To add more contacts, tap the '+' icon at the top right corner of the screen and then follow the instructions provided.""","[""add"", ""contact"", ""emergency"", ""emergency contact"", ""coco app""]"
"""How to make ECT work or How can I get help when I have an emergency?""","To ensure you can alert someone in case of an emergency, you simply need to add a few contacts. Below are the steps for adding them, along with a video explaining how the Emergency Contact Team (ECT) feature works.

Please follow these instructions in the CoCo App to set up your ECT contacts:

1. Go to 'Settings.' within the CoCo app  
2. Tap 'Contacts' to view the Contact Details page.  
3. To include additional contacts, tap the '+' symbol in the top right corner and follow the prompts.

Here's a link explaining how ECT functions: (or search 'How ECT works Coco' on YouTube)
https://www.youtube.com/watch?v=dYOdLjn9Ksc
","[""ECT"", ""ECT work"", ""help"", ""emergency""]"
"""I'm not getting my sleep time""","""First, please make sure you are wearing the watch correctly by referring to the manual you should have received with your purchase. Secondly, the sleep data will appear after you wake up and take a few steps, as that is how the watch identifies that you are awake.""","[""sleep time"", ""sleep"", ""sleep recording"", ""not recording"", ""not getting""]"
"""BT2 is not getting weather information""","""The CoCo smartwatch utilizes the location of its paired smartphone to update its weather information. Please grant the CoCo App permission to access your phone's location and reconnect with your CoCo smartwatch if you would like to receive the updated weather immediately. Alternatively, you can wait for the CoCo app to sync automatically. CoCo updates its weather information every hour automatically.""","[""BT2"", ""weather information"", ""weather"", ""not getting""]"
"""BT2 is not receiving phone calls""","""If you're not receiving calls normally, it likely means the CoCo watch doesn't have the necessary permissions. Please check two settings on your phone:
1. Go to 'Settings' -> 'Bluetooth', tap your CoCo watch's name 'CoCo BT2 (ID-xxx)', and ensure the following permissions are granted. If you want the CoCo watch to display your contact's name, please also enable 'Contacts'
2. Necessary Permissions: Location: Always, Bluetooth, Microphone, Camera, Notifications: Banners, Sounds, Badges, Background App Refresh, Cellular Data.""","[""BT2"", ""phone calls"", ""not receiving""]"
"""How to reconnect smartwatch on a new phone""","""Before connecting it to your new phone, please ensure that it's completely disconnected from your old phone:

1. Log in to the CoCo App on your old phone.
2. Navigate to 'Settings.' in the CoCo App
3. Click on your smartwatch.
4. Click 'Remove Device.'
5. Go to your old phone's Settings.
6. Tap on 'Bluetooth' and check if your smartwatch is connected. If so, remove it.

Afterward, try reconnecting it to your new phone. Please ensure that the Bluetooth on your new phone is turned on.""","[""connect"", ""reconnect"", ""watch"", ""new phone"", ""disconect old phone""]"
"""BT2 does not reconnect after disconnecting with iPhone""","""We understand that connecting the watch with your phone is important. Could you please check a few things to diagnose the issue?

1. Please double-check whether Bluetooth is enabled on your iPhone. Go to your phone's settings and verify whether 'Bluetooth' is set to 'On.' If it's off, please turn on Bluetooth and reconnect your watch in the CoCo App. If it was previously connected, remove the connection and reconnect.

2. If Bluetooth is enabled on your phone, tap 'Bluetooth' to see if you can find 'CoCo BT2 (ID-xxx)' listed there (xxx could be different for each watch). If you find it, remove it, then return to the CoCo app and reconnect your watch.

3. If the issue persists, please reboot your phone and repeat either step 1 or 2.

Normally, the CoCo watch should automatically reconnect after being disconnected due to reasons such as low battery or being out of Bluetooth range.""","[""BT2"", ""does not reconnect"", ""disconnecting"", ""iPhone""]"
"""How to change personal information?""","""If you'd like to change your general information, such as your name, email, phone number, or address, please follow these steps:
1. Navigate to 'Settings' in the CoCo App.
2. Click anywhere on the top of the Settings page, such as your photo or name, or the '>' sign.
3. You will then see the 'CoCo ID' page; click on the row you'd like to change.
4. After entering the desired information, please click 'OK' to save it.

If you'd like to change your personal information, such as height, weight, or daily schedule, please follow these steps:
1. Navigate to 'Settings' in the CoCo App.
2. Click 'Profile' in the middle of that page, the first of those three icons.
3. You will then see the 'Profile' page; click on the row you'd like to change.
4. If it directs you to a detailed page, after making changes, please click 'Done' at the top right corner of the page.""
","[""change"", ""personal info"", ""personal information"", ""update info""]"
"""How to change user address?""","""You can change your address on your CoCo ID page by following these steps:
1. Navigate to 'Settings' in the CoCo App.  
2. Click your photo or name at the top of the page to access the CoCo ID page.  
3. Click 'Address.'  
4. After entering your address, click 'Done' to save your information.""","[""change"", ""user address"", ""address""]"
"""BT2 does not reconnect after disconnecting with android phone""","""We understand that connecting the watch with your phone is important. Could you please check a few things to diagnose the issue?

1. Please double-check whether Bluetooth is enabled on your android phone. Go to your phone's settings and verify whether 'Bluetooth' is set to 'On.' If it's off, please turn on Bluetooth and reconnect your watch in the CoCo App. If it was previously connected, remove the connection and reconnect.

2. If Bluetooth is enabled on your phone, tap 'Bluetooth' to see if you can find 'CoCo BT2 (ID-xxx)' listed there (xxx could be different for each watch). If you find it, remove it, then return to the CoCo app and reconnect your watch.

3. If the issue persists, please reboot your phone and repeat either step 1 or 2.

Normally, the CoCo watch should automatically reconnect after being disconnected due to reasons such as low battery or being out of Bluetooth range.""","[""BT2"", ""does not reconnect"", ""disconnecting"", ""android""]"
"""BT2 contact limit""","""We understand that having all contact information accessible on the watch is convenient. However, due to storage limitations, the BT2 can currently save a maximum of 75 contacts. We will try to increase this capacity in our future models.""","[""BT2"", ""contact limit"", ""max contacts""]"
"""Disconnected warning""","""It is crucial for the CoCo smartwatch to maintain a stable connection with the outside world. To address this disconnection warning, ensure your smartphone remains within a 33 ft range of your CoCo smartwatch, taking into account surrounding materials, as Bluetooth signals have limited reach and obstacles like walls or electronic interference can disrupt the connection. Additionally, please make sure to have the latest CoCo application installed and attempt to reconnect to check if the stability improves. If the issue persists, please feel free to reach out for further assistance.""","[""disconnected"", ""warning"", ""disconnected warning""]"
"""BT2 bluetooth connection""","""BT2 is equipped with two Bluetooth chips: one supporting data transfer via BLE 5.2 and the other supporting audio transfer via BLE 3.0. BLE 5.2 can theoretically support a range of up to 240 meters (800 feet) under ideal conditions with no obstructions, while the typical range for Bluetooth 3.0 devices is around 10 meters (33 feet). However, typical indoor environments may significantly reduce these ranges.

 In our tests, ensuring that your smartphone remains within a 30-foot range of your CoCo smartwatch will help maintain stable connectivity. This takes into account surrounding materials, as Bluetooth signals are limited in reach and can be disrupted by obstacles like walls or electronic interference. The CoCo BT2 smartwatch can store up to 7 days of health and activity data on the watch if it has been disconnected from its paired smartphone. The CoCo App will automatically reconnect the CoCo smartwatch if it comes back into range.""","[""bluetooth range"", ""BT2"", ""storage""]"
"""BT2 does not stay connected to user""","""For staying connected, we normally recommend keeping the smartphone within a 33 ft range of the CoCo smartwatch indoors to ensure a stable connection, considering the surrounding materials. Bluetooth signals have limited reach, and obstacles like walls or electronic interference can disrupt the connection. However, if the watch disconnects from the phone, it will automatically reconnect when it comes back within range.

Additionally, please ensure the CoCo app has sufficient permissions to run in the background when your smartphone screen is off; it consumes negligible resources. Sometimes, restarting your smartphone and reopening the CoCo App can fix this issue.

The watch itself can store 7 days of health and activity data, meaning if there is no connection for 7 days, there will be no data loss, but you cannot view the health data remotely.""","[""BT2"", ""disconnect"", ""disconnected"", ""user"", ""does not stay connected""]"
"""Data is not in sync between the watch and app""","""We understand that having the same data on the watch and the app is important. The data on the watch and the app syncs every 10 minutes. If you don't see them in sync after 10 minutes, could you please check if the watch is connected to its paired phone? If you swipe the watch face toward you, you can see the connection status, which looks like a chain link. If connected, it shows a green line in the middle of that chain link. You can also see the connection status in the app.

If they are not connected, to ensure a stable connection, we recommend keeping the smartphone within a 33 ft range of the CoCo smartwatch indoors, considering the surrounding materials. Bluetooth signals have limited reach, and obstacles like walls or electronic interference can disrupt the connection. However, if the watch disconnects from the phone, it will automatically reconnect when it comes back within range.

If they are within range and still not connected, please check whether the CoCo app has been closed by the phone’s OS system. Additionally, please ensure the CoCo app has sufficient permissions to run in the background when your smartphone screen is off; it consumes negligible resources.

The watch itself can store 7 days of health and activity data, meaning if there is no connection for 7 days, there will be no data loss, but you cannot view the health data remotely.""","[""Data"", ""unsync"", ""unsyncronized"", ""watch"", ""app""]"
"""How to turn on notifications on android?""","""Please follow the steps below to enable notifications on your smartphone:

1. Go to the 'Settings' app on your android
2. Click on 'Notifications.'
3. Scroll to the bottom of the page and click 'See all.' By default, it only shows the most recently sent.
4. In the second section of that page, expand 'Most recent' and click 'All.'
   You can find the CoCo app in that list.""","[""turn on"", ""add"", ""notifications"", ""android"", ""android phone""]"
"""How to sync phone contacts to smartwatch BT2 and BT2-Z""","""Here are the steps to syncronize your phone contacts:

1. Pair your CoCo smartwatch with your phone. If you have not, please follow the steps on how to pair your smartwatch with your phone (found in the given manual_.
2. Go to your phone’s 'Settings' -> 'Bluetooth', and tap your CoCo watch's name.
3. On the details page, enable 'Sync Contacts'.
4. Your phone’s contacts will be automatically synced to your smartwatch.

Please note that CoCo emergency contacts need to be added manually through the CoCo app.""","[""sync,"" syncronize"", ""add"", ""contacts"", ""BT2"", ""BT2-Z"", ""smartwatch""]"
